MMT,CNF,Gelatin,Glycerol,TransVis,RR,TensileStrength
52.81005068,21.4681596,16.18601588,9.429024189,53.63985163,0.862774354,78.36324962
9.163768475,51.80644994,35.78434066,3.121543941,84.5907063,0.518445702,54.56162889
10.25943778,52.03086578,19.88368502,17.98027839,81.0059006,0.424527926,51.64858243
1.201573028,48.72004949,24.79001701,25.11176651,82.33752753,0.12627703,7.935997016
58.39893149,3.195333171,24.11248435,14.30919421,34.45014333,0.915687818,67.57737511
12.29949982,38.77609154,35.70298542,13.34628867,77.27207147,0.733001285,96.59385796
1.297742604,63.06909695,34.27156608,1.473822935,85.57567437,0.050492813,68.14897723
2.498766593,47.44120915,26.03084889,24.08350201,80.54634945,0.336358891,45.37463404
64.83206947,15.59337666,18.10305619,1.477664653,33.50850048,0.890054003,136.9360777
1.83303828,64.73212243,22.20110068,11.02951033,79.1032521,0.187312291,22.8296384
46.7999171,19.44906242,32.15710856,1.644685699,56.59157551,0.895992808,89.79008515
32.97891161,23.79068341,34.26474361,9.062293002,77.43683903,0.678527244,54.82986458
47.84839592,3.826810145,40.50305443,7.876546716,65.20270298,0.672627201,20.24165271
60.97196526,14.47330398,11.7561749,12.90826552,30.05325212,1.031993531,46.17756578
37.60162387,5.554415615,46.71734191,10.06089089,65.399554,0.915198728,14.37218555
3.221167091,32.67715162,51.63080486,12.3753132,73.62711252,0.280675804,47.2289559
59.03991721,5.759935294,33.2138008,1.986543246,51.29326394,0.886765547,107.7896132
23.84417443,41.35932396,33.3846523,1.400263792,81.10028731,0.650196548,22.97363759
19.68285079,32.53091551,29.77685976,17.83004296,78.51027958,0.416914659,49.06638473
47.75327188,15.46600825,14.75373864,22.03354949,66.93489982,0.714122906,43.12157964
51.25966499,27.9494059,19.33027812,1.61055639,70.17653132,0.833863242,41.27656327
2.718993998,38.25414447,57.09992575,1.921814894,72.71473422,0.352199244,58.33822755
5.176510043,50.4365984,22.4415794,21.85310377,84.05964057,0.33907364,20.99715553
11.1992893,35.33803217,34.03651794,19.40637644,76.8266767,0.620208981,67.56014641
13.88042262,36.95134724,30.62632762,18.54115827,81.12890315,0.699677991,43.01537102
65.32430522,13.72128561,19.33649786,1.695846867,22.16068017,0.930664062,62.64206249
5.147603255,50.45812781,22.51179061,21.98197399,84.08289177,0.431618733,20.96829628
49.30876333,8.334221374,23.44432265,19.02425874,66.88196924,0.993035733,83.96658596
27.26175707,35.36828382,11.46096912,25.83217832,75.62776854,0.786479489,37.87215201
42.79450476,2.276730964,40.95501061,13.92518758,66.12231843,0.081593921,39.16010252
2.209958886,51.0573988,37.56303135,9.156276115,78.63366034,0.218377964,43.04220333
1.279765237,43.9979983,4.836858795,49.71541635,86.71483119,0.805450656,21.6664876
18.93784716,38.43548836,6.135908328,36.61564275,83.43901116,0.633572116,32.40779698
7.486180176,43.10858956,12.83239676,36.45059736,84.12732517,0.41807343,21.83541364
43.46069834,37.63671238,5.947495458,12.84421747,71.49403517,0.806169183,107.8708704
2.638682628,41.30441198,6.414638209,49.65517365,84.36109055,0.096795582,10.74068038
7.535559281,43.19718127,12.88314937,36.53250217,84.06206368,0.348727716,21.77932714
54.1875991,10.4089736,34.17129682,1.406206945,48.3793737,0.917769417,65.54168395
35.44840914,37.81594646,6.575164791,20.03069892,83.05610993,0.885381809,85.57192717
40.67272584,35.57944408,15.05789708,8.544855093,76.66079548,0.65199514,47.80723635
35.59269596,21.7563937,17.38496875,25.32588819,72.87341375,0.665550984,30.42712665
51.18479048,27.9157299,19.21735105,1.614277308,69.2683681,0.671562324,43.43264672
9.074398619,52.02806292,14.30733074,24.61168727,81.4270889,0.447108479,42.68455919
1.497991507,55.83870546,14.23417951,28.36063507,84.84937552,0.277412853,40.99818283
40.63905258,35.71915547,15.05970229,8.573636882,76.65889179,0.677379986,47.74251638
5.924863218,38.87032659,31.86046165,23.49780911,83.61089874,0.418843991,58.60477415
65.02858818,2.943165174,17.58698843,14.41611779,21.35759195,0.906683565,95.62947774
52.86040703,15.62063118,28.70635196,2.812014172,43.19323705,0.847108677,56.22960555
4.425889161,41.18149156,2.9367574,51.4779578,85.77840761,0.226039926,12.46528414
23.77610211,41.35452325,33.40288974,1.303595177,81.15285638,0.753485316,23.03546947
38.92337718,19.94726455,37.74195118,3.482737928,69.78481306,0.743850656,29.39400054
32.82122959,24.11054122,41.85301246,1.241462258,70.87186613,0.860349002,60.49609942
24.87436096,38.27482444,13.84282708,22.99259015,78.29871563,0.763163745,53.99144512
37.5424734,5.59298309,46.78144746,10.07690869,65.27701544,0.871766711,14.29508124
42.79707259,2.336930959,40.9087158,14.03205468,66.1930238,0.155887137,39.11901817
52.03253974,26.96099235,1.953843844,18.98444544,68.03934249,0.789011243,34.78617899
71.56804384,2.085230229,24.9121192,1.374058496,36.97256657,0.884399757,49.93721664
2.170153001,51.11791755,37.61404793,9.090452271,78.66694157,0.264979441,43.1283942
1.200963031,62.93351005,34.30483068,1.395863367,83.6042219,0.254617529,40.36014117
52.84017485,21.43840747,16.24274673,9.544562066,53.578646,1.044456051,78.32014713
23.2040134,37.32776812,34.3906623,4.999210072,79.34706607,0.660017433,64.72599281
1.831777097,64.73985627,22.42976281,11.00554501,79.13599672,0.18566843,22.78097034
33.68159063,12.71874739,52.02556016,1.494906294,69.37184697,0.719317131,14.35146588
52.00982577,1.94132718,22.84580371,23.26767481,67.14778785,0.904343866,33.76839771
7.776001458,59.06767323,27.25044728,6.025945016,84.75296932,0.250874786,140.443205
12.08362415,51.32187726,32.47651819,4.125434622,80.06266971,0.587977804,73.61431273
3.139543423,63.49116918,28.57550758,4.725858369,80.36601971,0.156513244,138.8484285
43.01596552,20.37348372,34.41156181,2.047178049,67.67955487,0.941135334,69.68000345
30.73230796,42.84462078,15.74232674,10.71208575,75.8639079,0.4151482,28.82291179
3.361812908,47.68507929,41.40311148,7.629404769,74.78519472,0.181680256,129.2502742
46.81655868,19.52568072,32.20169407,1.581725391,56.61845742,0.974997099,89.62947009
40.26166944,26.63433954,30.31781235,2.765890907,76.49400634,0.756728206,45.66974333
15.65067756,43.34653091,36.11656736,4.74657018,78.18210865,0.749205633,40.30109119
4.410114693,41.16779064,2.924209814,51.47303472,85.64102721,0.26911594,12.62767535
62.83809554,22.5100347,10.99287501,3.587799636,35.42425905,0.669091418,113.5226519
68.73898283,7.872738192,19.17138912,4.267226238,32.83091064,0.8549222,52.75787336
29.45741659,28.16720931,12.3359716,30.15954784,73.32396496,0.598639178,25.54150329
5.234548872,50.4972065,22.55452623,21.88120655,84.11095885,0.337206319,20.95869668
24.08652514,33.57776453,20.07984561,22.31050042,74.54317988,0.591557624,90.41833501
1.73547711,33.80133821,60.75331358,3.846184078,80.65808688,0.232543697,30.17858119
12.41469278,43.56652307,30.69490995,13.45356502,79.64799636,0.771076311,73.86987419
46.90268646,19.36770837,32.13497959,1.581911778,56.60459142,0.881731901,89.63311365
41.80531664,4.782680591,35.17567026,18.31831565,67.9384691,0.523914828,81.561527
42.76413385,2.303134671,40.90440453,13.96817011,66.15345866,0.160118787,39.06647961
41.68168583,4.777897709,35.17043847,18.43733702,67.97945541,0.631239814,81.60984216
41.74993575,26.93294132,10.8727363,20.50527694,77.35605438,0.559815883,73.78321979
12.27496834,43.48523381,32.79953956,11.39681804,82.57111959,0.569134363,125.3663679
5.385374789,66.16131055,9.461216057,18.88439516,85.31485751,0.267500567,52.71630263
30.70456247,42.77332543,15.75193549,10.80910687,75.77800623,0.492763487,28.81703014
52.9240535,15.46354616,28.75643025,2.832223284,43.23142786,0.808180325,56.23343982
11.06792712,56.81978744,26.52376818,5.758918403,84.37489001,0.417688498,33.27178592
11.09041879,56.67270488,26.49185733,5.732001938,84.3999881,0.49238309,33.23615029
2.652686985,38.40118058,57.05642632,1.863577781,72.65862612,0.293187187,58.38108674
54.9653661,15.04453808,11.3973036,18.58035279,45.01006727,0.905235208,56.47347008
43.63281569,21.74455998,33.31255928,1.1077107,66.42413664,0.755425053,21.33958738
34.49816329,14.78539869,45.96101419,4.771638105,67.12864192,0.780795817,38.62614679
8.347710356,34.32744975,3.332277485,54.17932874,78.41532829,0.572533099,11.77708064
12.35488676,43.48684743,30.73351049,13.4290616,79.57889826,0.690496776,73.86481943
23.18339948,37.375596,34.40848995,5.023672436,79.36629855,0.697428397,64.63218465
7.781227335,46.75793879,31.60058808,13.77249107,82.55453647,0.525729485,111.9361754
47.85871644,15.49391892,14.74187151,22.04976752,66.87065272,0.693544546,43.21346737
5.844730673,36.07229132,1.099192414,56.94210883,84.58000372,0.218988373,7.834376449
1.369775281,48.76655603,24.84338374,24.96180171,84.24769021,0.142392575,28.76337733
1.890826741,64.70955578,22.35222892,11.1526434,79.12517805,0.227912811,22.82340871
39.63939291,33.9699693,17.50111308,9.088867854,70.66804641,0.730103225,65.87056351
29.47323728,28.21805252,12.450631,29.93651236,73.21222041,0.676870679,25.56441514
38.42035245,31.01099005,9.232668036,21.32344193,78.23591664,0.808027917,51.1658463
5.210803876,50.48515937,22.46434458,21.94938071,84.11069485,0.388493835,20.92888665
27.23860686,35.41709462,11.39169153,25.9115452,75.67838917,0.860024008,37.9303739
35.38000084,37.76848017,6.743966536,20.19826466,83.07438344,0.774375156,85.49569939
52.06257891,1.84144187,22.83594311,23.28561578,67.18062634,0.817337051,33.94971642
43.02741903,20.40254161,34.48414149,2.078533779,67.76843098,0.769511035,69.7423603
40.08546962,29.66777708,10.024636,20.1055646,76.29660841,0.780852207,42.12497489
59.96183001,20.49778141,17.31709005,2.429262903,30.01598991,0.820886332,82.77329102
46.68185424,10.94165142,26.25191966,16.08399952,56.53335345,0.882053822,57.9660182
4.296157114,55.93388087,26.15811105,13.79927739,83.85519919,0.203673518,145.3255523
62.87591989,22.57998158,11.06122794,3.590467314,35.47519692,0.709156199,113.5697877
5.17871266,50.50134102,22.49413853,21.906183,84.18861602,0.359348161,20.97563133
23.16920435,37.38191498,34.50582313,4.979368972,79.22777536,0.726788606,64.7959696
7.389426888,42.61479745,25.8706513,24.01719358,82.99947126,0.661095676,40.37184903
52.07845177,1.827624753,22.79200115,23.21601655,67.10734449,0.754635549,33.89925782
32.72684018,24.1360418,41.79819683,1.282244115,70.78903882,0.804490139,60.55396716
64.82133724,15.48155193,18.22069797,1.449565569,33.40556364,0.84199125,136.9693892
42.94255801,20.40012392,34.39999626,2.119662567,67.62629026,0.963048937,69.74579084
40.87647035,23.23523505,8.601674846,27.2158433,80.70674688,0.588796545,73.9216787
34.56192582,34.20674815,27.71030916,3.493456419,75.22313527,0.592920004,54.67697351
5.027547145,42.56960604,44.272596,8.084890624,73.78970076,0.436576982,102.4331283
71.63583831,1.968517081,24.92643677,1.425449945,37.04323521,0.941638928,49.84144521
58.47136489,3.216623224,24.20669991,14.34122806,34.45085149,0.988903798,67.59271616
45.4103992,1.802538122,51.30080305,1.485119317,61.55767258,0.781554212,107.7372952
2.194763298,51.12476692,37.56383833,9.013699828,78.67972904,0.246999604,43.10676113
52.01195779,26.86783491,1.937878301,19.19700085,67.93625331,0.818638616,34.85355752
5.473753261,46.40629185,12.22034017,35.94255873,85.67404028,0.145303551,34.40310034
9.000229533,50.84554199,11.59841893,28.57099499,85.96340041,0.428241415,39.66943651
49.26642597,8.29807961,23.33377073,19.05040609,66.88128256,1.049509052,84.05988922
28.33065326,29.12688355,14.58439056,27.99098028,75.30773636,0.834583425,40.25591482
66.16640621,15.42688782,17.02564998,1.459473907,40.36425948,0.271042197,51.27864392
2.728495579,38.27562577,57.0409527,1.895133965,72.79772871,0.427108136,58.33958835
1.540030306,53.55083154,18.26248071,26.55587117,83.08637383,0.127563675,27.96084232
64.30442514,1.734145607,21.28199627,12.61814444,48.19108107,0.923259026,54.53915489
12.24855027,38.71882968,35.72882816,13.30044649,77.30948225,0.72983743,96.65474957
56.79687443,28.40727147,4.844356823,9.925956509,82.65537437,0.84330515,49.86546928
32.82264189,27.50033171,20.41835639,19.26197735,75.92047444,0.666309119,41.5429135
5.068009115,42.54070315,44.32702539,8.088487526,73.86254764,0.350308723,102.4597693
1.591448371,53.64897775,18.17253829,26.5320652,81.92724827,0.075005192,14.5795042
43.09751507,20.47096692,34.42477142,2.132208247,67.71263889,0.93040136,69.78525994
33.05822964,35.02806343,4.532987389,27.48803515,81.01214463,0.659835151,30.32439949
29.43582348,28.11261766,12.3577518,30.09756442,73.18927248,0.761668694,25.57587045
10.0916132,42.99692447,44.93781457,2.084509909,81.76111603,0.649049926,38.04061016
24.1005485,33.65907544,20.01065907,22.25680452,74.67873559,0.569000701,90.31911744
32.98990167,23.81609299,34.22473676,8.99182163,77.40452959,0.731287263,54.90639272
42.89029695,35.26437846,3.407351184,18.52372749,75.02160368,0.756142008,66.24466892
9.549917703,38.89369786,15.49275217,36.08561426,75.53179542,0.528457609,12.03540994
18.86425338,38.43341443,6.115815849,36.61608477,83.39536892,0.653598158,32.38881429
2.754954743,38.3490275,57.07864969,1.88846165,72.64749809,0.348481526,58.37480697
15.34562506,38.90770921,2.366904334,43.44623734,85.70796887,0.699564247,20.89881135
36.16441968,34.5904728,11.82667544,17.58082741,79.00435055,0.828870473,103.3807444
10.08936084,52.01892739,19.87575118,18.07175087,81.10780701,0.507784924,51.71296318
1.31658949,53.33426962,30.48484153,14.84735905,83.19271697,0.182303616,67.87987585
36.13936411,34.51151339,11.82685906,17.43694291,79.10681236,0.704902748,103.3499788
35.59112823,29.5498245,8.530514407,26.30816485,77.88961098,0.587862068,12.34265517
42.93150495,35.26926355,3.336073659,18.52373472,75.16552285,0.68005343,66.25409343
40.37389867,26.59660033,30.32500039,2.615613863,76.41999031,0.805876372,45.68394937
9.595731034,38.76119032,15.54450549,36.12015856,75.50511101,0.451381171,12.06429102
5.134470685,42.50131032,44.24392068,8.141746607,73.77997691,0.43040089,102.4702707
1.638006066,33.7747123,60.79309664,3.852683189,80.69682652,0.096058965,30.1664323
5.189658168,50.44559409,22.49282049,21.92023848,84.10762144,0.364385303,20.88371254
12.30802389,38.65474887,35.64633156,13.30451461,77.254604,0.810572918,96.6260139
65.28890424,13.78182734,19.3278449,1.545842625,22.23702025,0.907813236,62.62425837
1.404194842,53.30341359,30.43596426,14.81653499,83.23889022,0.210700831,67.91719355
49.32893366,11.15680011,16.45507175,22.98166865,33.84163086,0.871974579,31.7109251
2.298046393,57.80570774,3.449849299,36.44004108,84.54736702,0.811559866,19.30835381
6.431774597,32.07372524,59.60043226,1.919694713,82.49850982,0.608847403,10.31516144
28.29467111,29.2220656,14.64276531,27.89286084,75.29875463,0.687453734,40.2665818
71.67820272,2.013308867,24.9729303,1.446536343,37.14030788,0.948812279,49.93545508
24.12898432,33.54353714,20.06783465,22.28012329,74.67498798,0.598219017,90.30771039
30.35271478,29.57314969,10.34063713,29.75290718,76.07765669,0.678756799,28.25295629
24.93090357,38.25680761,13.83164854,22.92041422,78.10286309,0.635253788,54.03052172
24.94286771,38.2860855,13.81881073,22.93283364,78.28165109,0.644792843,53.98232401
12.22317516,51.23858525,32.47088078,3.958054566,80.21512213,0.551675623,73.65684455
58.97380697,5.893467015,33.23175077,2.006678633,51.26452554,0.808011655,107.7739668
66.58632974,13.12705287,13.92193932,6.311207299,37.2045799,0.939343422,132.8479836
35.61602997,29.64138583,8.460826811,26.2810315,54.47990953,0.89691756,32.41925818
47.69156581,15.51436768,14.81418358,21.99610602,66.94905788,0.661511542,43.16806033
39.34711021,13.49020513,32.12605501,15.31454683,67.89226531,0.958803786,53.2196027
43.49289985,37.61793376,6.034912832,12.86903317,71.48786269,0.651991448,107.923532
1.407817208,33.19320519,2.019969714,63.30739747,86.2759393,0.377687207,6.664566573
13.90731015,36.97945181,30.53986229,18.60759409,81.07701203,0.59755589,43.04538008
5.034704819,34.3962202,1.245573539,59.32122095,79.95533242,0.288617066,5.022778969
47.44000852,18.75482102,14.99249417,18.78554601,66.76489208,0.737812288,67.71572106
1.781061968,64.7797286,22.37599315,11.07725105,79.02273446,0.238504353,22.85027183
35.59028286,29.66739886,8.542037912,26.29276525,54.50613941,0.827874751,32.47625975
23.12894104,37.38015285,34.45468774,5.023540319,79.37779211,0.769057903,64.63907631
22.82826798,34.15600817,3.400038569,39.63002783,82.19237228,0.611753704,25.75353593
51.99181415,26.95193666,1.975498269,19.1405643,67.99999266,0.804468506,34.84446853
65.05197602,2.902847683,17.4387988,14.42545233,21.3963458,0.870329231,95.73518621
6.355909924,32.11560946,59.61703691,1.837843049,82.4907311,0.586397007,10.22934838
58.40035375,3.221741386,24.09924889,14.22215384,34.38052868,0.861172082,67.6749482
66.64965996,13.15417909,14.01776011,6.292992829,37.16046598,0.916601494,132.8415324
30.71019088,42.79653711,15.74097049,10.7121624,75.76193052,0.342236126,28.81280359
7.807270324,46.81287581,31.6962657,13.72950189,82.58636339,0.613322313,112.0154949
28.28621467,29.18270535,14.50424781,27.97710154,75.32195603,0.738908005,40.25865072
58.51300262,3.212006821,24.19239164,14.30901344,34.35027391,0.963055891,67.60800691
17.89585595,37.43431809,21.79873417,22.88821284,80.87326605,0.644299708,67.4994893
27.23479769,35.46463748,11.44568799,25.86791768,75.50424711,0.853079523,37.89995414
12.30856556,38.67791714,35.74834409,13.28573831,77.30477797,0.720686665,96.59529708
51.21628709,27.88083236,19.26000176,1.587343706,69.21742416,0.759979308,43.40216722
9.019706307,45.49853238,36.50437187,9.031876195,83.03304153,0.545227102,125.9809654
2.752133216,38.32103592,57.00986056,1.927162293,72.72567554,0.349466643,58.41668241
32.81233617,24.17405952,41.81068823,1.263506988,70.84349782,0.805494001,60.48186555
51.80749147,20.5105838,18.62827372,9.256352454,41.53171154,0.743883778,35.0184128
20.5809823,39.63652591,26.91505996,12.99479545,77.43000543,0.731357117,37.75642105
8.34542693,50.03871812,28.22860305,13.43555013,80.13262972,0.577668627,65.37496672
36.12665907,34.50254964,11.83651381,17.4409897,78.98793782,0.855400877,103.4990181
1.428022652,48.81540039,24.80367548,25.11589848,84.35226109,0.227966203,28.71985168
5.531966417,46.30007724,12.21357774,35.98659598,85.76445793,0.237672169,34.36502911
41.68707649,4.74213122,35.22060134,18.31830254,67.9800791,0.550901129,81.60731945
66.2467962,15.31690361,17.00513346,1.455597141,70.28044456,0.799185887,65.38668211
35.62537642,29.68413778,8.500695208,26.26864703,54.48082132,0.887055527,32.41624242
32.77137657,27.49104363,20.45106347,19.31740413,75.87904067,0.680387966,41.5683382
6.466505818,32.15004499,59.50170983,1.936251839,82.48917771,0.699981305,10.23586365
20.53546741,39.54551978,26.86711233,12.99165195,77.46933228,0.751908949,38.02337737
30.74909336,42.77778391,15.77506055,10.7804554,75.75672962,0.438579281,28.91517254
40.66434243,35.68230899,15.13003365,8.659110809,76.66837167,0.58410379,47.76168868
45.38456688,1.686245125,51.28328774,1.498647907,61.61447847,0.797991227,107.807418
71.65697561,1.997787101,24.94986061,1.388880217,37.03300024,0.874611089,49.79406263
35.56524025,29.6530801,8.549537655,26.21676242,77.80751788,0.614068907,12.4219427
11.09782326,56.73891106,26.54840191,5.748957818,84.39016336,0.624635473,33.23072544
38.95870413,19.89206689,37.71642611,3.495988177,69.78461076,0.682973061,29.49861634
3.211094306,63.58759177,28.58833897,4.678171921,80.26861332,0.104420088,138.9342507
1.76654183,64.67146868,22.34661667,11.1143962,86.74422452,0.86511951,43.00767226
38.93903861,19.9017665,37.75733132,3.487472221,69.82111913,0.823444864,29.4790023
8.329340574,50.02133219,28.16128209,13.49447808,80.24413627,0.556715678,65.43992217
7.419555916,42.68622232,26.01465438,23.91438245,83.06849753,0.514855179,40.3565084
17.77498423,29.45868327,49.17704025,3.626669296,80.73717802,0.670657073,21.90605791
32.75670453,24.03098985,41.83994274,1.20172681,70.76425039,0.775197977,60.57876085
42.84662595,35.37828136,3.271538902,18.53911552,75.08673985,0.681224065,66.31067627
27.24533027,35.35831618,11.38756518,25.89722039,75.62921371,0.920063844,37.95173849
66.58803942,13.10384118,14.02373706,6.388840277,37.20795546,0.903444825,132.7980403
5.967377567,38.72023867,31.8612392,23.54599939,83.68130315,0.533872957,58.62090474
66.56293132,13.04547576,13.94913146,6.303343432,37.18639696,0.89639633,132.8444306
43.05463095,20.43688924,34.41521239,2.065843318,67.67654098,0.963440357,69.73054567
47.45892135,18.6992205,15.16422959,18.77811832,66.72860758,0.717611444,67.73998666
1.142085966,70.08639979,19.28320133,9.631643419,86.09737074,0.633151205,76.19370867
1.131418961,70.05560904,19.18584198,9.653904361,86.12894547,0.568667378,76.18160365
1.374933301,43.89935535,4.795174674,49.70752623,86.73603127,0.804476621,21.67233517
34.60651726,34.22169821,27.76891384,3.426367956,75.14567823,0.727881411,54.72802436
40.62802514,35.65874364,15.15850014,8.603674136,76.65451469,0.580705079,47.64372812
10.13064653,51.97999919,19.9512511,18.03210712,80.87876491,0.342564448,51.52044737
6.489339582,32.13072937,59.53257444,1.942884429,82.46386366,0.696661036,10.21884723
58.28513995,3.212788186,24.23912312,14.22175079,34.28332599,1.005692784,67.67303309
47.7720219,3.898918763,40.4352642,7.802748685,65.14951599,0.691983924,20.22445183
64.22847489,1.806307353,21.32305679,12.74345157,48.20968386,0.895587989,54.6101576
36.13588221,34.56087301,11.85960325,17.49980964,79.01513268,0.794157685,103.4238828
51.2394614,27.88005746,19.22294577,1.566353512,69.24375134,0.754336173,43.56301486
5.95865809,38.78365541,31.89613321,23.52239177,83.68850602,0.450330686,58.61448334
55.04969775,14.98066147,11.43052256,18.55376794,45.02909923,0.853368954,56.55407638
64.30758165,1.725632912,21.38650284,12.59503603,48.15880076,1.019773013,54.64412257
58.95021564,5.774028481,33.19134219,1.998498248,51.33465633,0.902565678,107.7423559
42.7688241,2.429694794,40.9733331,14.02299817,66.19650438,0.16370341,39.19944045
35.52303369,21.74589991,17.35177009,25.30687031,73.01953714,0.717910673,30.44781076
1.326642179,38.77905154,38.82171581,20.97331285,81.92306816,0.158524637,11.35782893
30.28494948,29.50670182,10.36582214,29.70887658,76.13267328,0.724433748,28.24060508
41.77713457,26.96655057,10.8290026,20.38757926,77.29145181,0.64118098,73.76173749
3.289514438,63.51023412,28.52848538,4.731357359,80.2709732,0.186557577,139.0408783
12.3690045,38.72002078,35.75749075,13.39972022,77.37178838,0.692491375,96.64368833
50.25779747,9.961566208,38.20381094,1.611174859,63.30566939,0.648212254,34.98705438
35.56252177,29.58940313,8.474223918,26.21430284,54.5376323,0.88278808,32.50320089
35.42156745,37.77159031,6.697551223,20.09080803,83.04442065,0.791756,85.54019596
54.0994778,10.34288863,34.05849647,1.469067424,48.33123317,0.95042068,65.51392551
47.76872965,15.4258882,14.69057159,22.08345397,66.8700663,0.669895478,43.17095721
4.297567073,55.75841937,26.06691146,13.84111345,83.85814596,0.135025061,145.3273166
41.73523042,4.836260079,35.22729158,18.22302675,68.04094682,0.61285959,81.5855132
47.7978228,15.42738505,14.67783237,22.03386703,66.86685152,0.733206082,43.19612416
58.38460107,3.190175395,24.110394,14.27755017,34.48693973,1.028919857,67.57046335
5.932900566,38.71059792,31.89922516,23.43554738,83.59497318,0.434298484,58.53717536
42.83721932,35.35127279,3.297038254,18.47108337,75.17262517,0.630098344,66.3442398
62.83341923,22.55043828,10.99499925,3.511138937,35.33098009,0.76751235,113.5706549
51.99120183,1.807890349,22.91028642,23.28784978,67.17915715,0.866489637,33.76597601
7.729832438,46.72911664,31.60645071,13.8802497,82.55527434,0.568029877,112.0737212
40.10339134,29.68262135,10.02625894,20.16072029,76.29997425,0.773725521,42.10938335
1.711250413,33.83328033,60.84630042,3.669468923,80.72027504,0.155089241,30.10885966
26.49883195,33.11401347,28.67930027,11.8669865,81.16861365,0.782430088,86.59881644
18.76933797,38.48444626,6.109349204,36.45672615,83.40681502,0.714683675,32.35153477
43.5318748,37.60769565,6.019824354,12.79408874,71.29607046,0.800055658,108.0315932
37.27742578,19.20128536,22.3611497,21.15106246,70.19890919,0.892604207,67.8650737
5.912305113,36.03781468,1.151460105,56.90883846,84.64241482,0.253492604,7.84890408
4.503232567,48.17045961,14.27545069,33.04032147,84.00744327,0.285035592,33.78700357
33.05203225,34.93820791,4.57809839,27.43588423,81.01552941,0.695069266,30.33050982
1.603386565,53.57289057,18.10191164,26.68866832,83.15541164,0.147897544,28.02264128
68.76337628,7.88257875,19.17192981,4.239245786,32.76451006,0.837366746,52.77152324
2.574768261,41.4374384,6.290104451,49.58287421,84.32595509,0.197313154,10.87341513
66.15260781,15.30742675,16.99712611,1.505113207,70.29486559,0.747703804,65.42819287
8.453598036,49.91702276,28.23763516,13.45014391,80.22898045,0.580976769,65.38931006
34.5691771,34.18722845,27.64313977,3.45590782,75.1765397,0.616752954,54.63737594
32.95949235,34.99780484,4.583515445,27.48337607,81.05252041,0.747060943,30.42899449
35.70707686,21.78535763,17.44032383,25.24995001,72.87716309,0.690315834,30.43276396
58.43921844,3.170723346,24.06130507,14.22130391,34.42551325,0.870391236,67.69613431
2.497300088,47.32359872,26.03360621,24.0149117,80.47538204,0.309900549,45.39462317
52.04294215,26.90944387,2.002055164,19.07129284,68.01700212,0.712453303,34.88292541
68.7707938,7.847531855,19.12006183,4.188447834,32.74922009,0.788657874,52.75732253
13.82586842,36.97279183,30.5853268,18.47258167,81.03687675,0.675378419,43.00329946
5.801571569,35.976133,1.086811974,56.94622246,84.539605,0.260686642,7.859097204
12.3000705,43.51446493,30.62441761,13.55498534,79.59677204,0.686137959,73.73040322
1.874598952,46.92105368,49.33710149,1.745263347,76.93528542,0.118531898,63.98003653
46.86047519,19.50406348,32.17923968,1.596063125,56.67974355,0.903156099,89.62710852
3.207698824,63.53694659,28.48197855,4.761859491,80.31555828,0.097557369,138.9438521
9.103722203,51.6980306,35.84396191,3.21462425,84.64564879,0.459624731,54.51646669
33.03324121,34.94599712,4.598614059,27.44920947,80.95030107,0.715759731,30.35259797
43.80924036,21.78341026,33.45747584,1.034556178,66.33366557,0.886343077,21.35657525
22.88831751,34.11495372,3.420277004,39.64124982,82.21532402,0.584445897,25.85209948
41.87166473,26.92691243,10.80730141,20.43919619,77.32052298,0.620956031,73.76315357
1.636765473,53.61628985,18.22196963,26.63806327,82.05629505,0.072950367,14.62225074
8.272304406,34.17697131,3.375167869,54.14009532,78.42292267,0.602456516,11.84561776
1.384261343,43.93694935,4.859234158,49.83599689,86.63827647,0.760298482,21.73113274
33.00914538,23.76156272,34.27001136,8.973801698,77.35270169,0.813909851,54.9455593
47.4918782,18.78468705,14.9893158,18.73627602,66.87100246,0.784366284,67.7355981
49.32260605,8.26422588,23.36837115,19.01578734,66.95225354,1.037453816,84.01495362
58.40878251,3.193118915,24.18026033,14.35055893,34.35413328,0.949301951,67.60280965
49.34816718,8.344373435,23.31588515,19.08213518,66.85798704,1.003225754,83.99389007
4.467521185,41.10298289,2.960398993,51.50558968,85.68389814,0.137711992,12.6248849
42.81553976,2.337916595,40.90594192,13.91816544,66.14922213,0.100438341,39.17716711
11.21681351,35.39859001,34.00408859,19.40121738,76.93433737,0.672307176,67.55882073
22.7862317,34.04547676,3.38226066,39.72919227,82.15265515,0.533168854,25.71552719
9.254081836,51.71035135,35.86605309,3.162254309,84.64975965,0.526489525,54.54841868
1.494782551,53.57460172,18.27147822,26.59396209,83.1212004,0.135530068,28.10094297
12.27319279,51.26290581,32.36729419,4.087038427,80.09498446,0.586391362,73.62787083
5.571407476,46.29689664,12.09075261,35.89327716,85.65615121,0.212287591,34.32629074
5.921320911,36.06576436,1.092905644,56.92513895,84.49125877,0.276929628,7.858507577
35.58422209,21.70762028,17.47855909,25.23259669,72.85569188,0.839839604,30.38660593
65.13884479,2.901638816,17.58840224,14.38740675,21.41920297,0.852550273,95.6417827
68.6353623,7.761606239,19.22112165,4.315136455,32.78802042,0.834605017,52.71762831
